Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burundi,BDI,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,10.26366145,8.634556173,14.19536626,8.564358927,14.39249175,8.70394136,11.68151404,5.143710486,12.11157647,5.417275125,6.017278401,3.737557297,6.040746122,0.665302857,2.418028682,1.32796785,1.489883647,4.200173987,6.755630908,6.587317715,15.3535761,8.009435489,7.336470748,-1.504462878,9.853377868,3.216160891,1.95368778,10.88161509,3.933888146,0.617073291,11.22352302,5.877363094,6.072690439,4.323060933,
Belgium,BEL,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.36375388,26.21979608,27.1911195,27.31620669,27.8466578,28.77786884,27.42074643,24.9976133,25.35030396,23.49924635,24.73166599,24.23369807,24.57515733,25.00809394,24.74637248,25.33780723,24.49841441,
Benin,BEN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,11.10189165,10.14933463,11.21581514,13.61510129,10.50405643,12.64138488,4.172432884,-3.251557619,13.22154751,8.192515498,7.516614021,2.634224205,4.137373953,4.357863814,0.770432281,4.514204646,9.688373957,10.75654116,9.575206416,9.68531377,14.50610152,15.89711125,15.24389114,16.18785134,15.79857539,13.16925286,13.70123567,15.00717661,14.9153593,12.1485593,14.65046467,12.91120029,13.60928251,15.13558213,12.85996089,11.9043925,11.16726048,12.92894304,13.71116615,16.68812899,18.5888718,15.33226467,12.68640468,12.32193872,,
Burkina Faso,BFA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96846633,10.49271739,13.61551061,13.66398807,15.67745182,19.38370381,21.21481582,23.32151199,19.50981375,17.80454912,15.25811977,16.68581588,19.05388854,,
Bangladesh,BGD,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,-0.840906616,10.03992261,5.704443543,7.076281516,8.332931314,21.14318205,23.52848225,23.09953972,16.29489054,21.52029364,22.77606457,22.62537719,22.19589579,22.34616809,23.02441179,22.56040592,21.99400383,20.90120214,22.41716006,22.14615449,23.13879408,24.3974787,25.83405473,26.65995682,27.79745769,28.42229043,30.74917643,30.1645967,31.57740067,32.3626785,35.33850447,36.31743462,37.38253287,38.97611857,38.78147102,38.05723592,40.59589684,39.74593591,37.77929258,36.73376986,37.11618827,35.23314344,33.2710398,
Bulgaria,BGR,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,29.67663138,36.06154289,34.92468893,33.76231779,35.32927703,31.84968385,32.12167163,30.33316635,32.67718692,28.8254942,14.65501668,17.3373913,12.82333665,6.215603881,8.509748858,25.10812209,9.146878258,20.62192441,24.74718895,15.52147234,12.87345048,15.07547002,17.34839113,16.16645296,16.33744524,16.10332803,14.32255076,9.735072861,15.33133256,20.79717373,22.05914509,22.84492447,22.3367105,24.0699712,23.47916171,22.92864601,26.23358755,28.16290179,27.69784107,
Bahrain,BHR,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,51.07425952,54.49037504,50.1459148,48.96753062,42.33570991,34.30194451,22.80212599,24.88630429,31.08253717,23.81771873,36.17957746,15.53263813,12.03537841,11.51741403,16.56635482,18.63942928,18.60783265,16.96561257,8.850917176,7.355679706,25.73325113,18.23996125,22.82781745,25.54748531,24.10547562,35.96634878,42.20862228,48.08899844,43.72610554,28.58593099,30.27512906,26.87982728,36.53018877,33.34596199,31.40683954,24.1111,25.07650884,28.80056505,24.58253861,
"Bahamas, The",BHS,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,15.8345021,9.634790966,9.615729986,15.76424773,13.18611286,19.73008934,21.45660203,13.71319387,17.01641388,16.95854398,17.49078546,,19.80764206,19.03411244,14.518379,19.38887102,17.06241915,16.41485118,31.78619131,39.57787753,28.81958701,27.55245697,33.83285089,32.68491061,28.74391518,32.12153958,31.20227641,32.70077491,29.83435758,26.5970641,27.79379828,26.76282965,25.46533947,23.71975958,21.04410429,22.41033534,23.52662671,19.0568697,20.06749478,23.52381342,16.27463864,12.70831786,
Bosnia and Herzegovina,BIH,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18853937,6.138807029,8.590225353,12.59074546,10.7333735,8.685422112,7.655454461,6.945508537,5.456299585,7.3978682,8.170607232,9.390501217,11.01171662,13.58872553,15.17874676,
Belarus,BLR,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.59980711,20.05872714,20.54095335,19.8540964,22.57410179,22.30639936,22.36221114,24.45881012,21.6565346,20.64636912,22.87695844,27.08934465,27.95570081,29.55841081,29.13434981,30.50203004,26.04013145,28.76683343,31.77821055,31.23242224,28.39568056,27.40843371,28.79057542,26.52902249,28.01355616,28.79497861,
Belize,BLZ,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,46.76245346,44.07169204,48.84381131,50.50469652,47.74271218,47.72684571,51.26664178,47.57384269,18.09699423,18.84380555,14.08379453,15.55514687,11.99228917,11.22004278,8.718157942,8.789998397,13.60224747,5.583729857,4.537967575,2.832708955,4.110054014,7.91428038,15.34265326,13.60188945,15.53551261,12.81172936,10.06950296,12.76114315,11.95232099,10.64418664,10.90593652,13.04125932,9.785793825,9.258721725,8.466417863,
Bermuda,BMU,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.19939203,51.77585708,50.53110455,53.40968266,54.65905988,,,,,,
Bolivia,BOL,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,16.33128761,14.67223951,14.86945959,14.64485234,14.42137658,10.42891538,8.814127617,12.7517592,12.15755323,10.16117285,3.771606981,4.797133249,6.792826613,8.613768531,9.54598917,8.884355154,8.480538254,7.798764903,10.19955065,11.16875603,12.06920506,12.58216672,12.82213844,10.65746426,11.01505751,11.25621983,12.29706722,14.4857439,17.04664566,19.88251206,26.58222909,28.63604221,28.98325917,22.89988728,24.97551376,25.5871771,25.69405685,23.89093922,20.78947781,14.21692554,15.42005142,16.18820514,16.04735935,
Brazil,BRA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,21.53831433,19.22460219,19.78325558,19.48954444,18.02563302,17.86787843,18.639164,15.29337555,13.31746897,15.75808843,19.09153964,17.1233073,21.81089812,23.94049991,35.80697096,18.91773198,18.54228179,20.07776475,20.18526529,19.66353427,14.3484425,12.68491938,12.16975373,11.53218877,10.5951524,13.9917129,13.59491698,15.40753681,16.41786255,18.8597598,18.1140694,18.40980115,19.34636623,19.22685147,16.38036208,17.95568765,18.56612002,18.05020792,18.33663102,16.01839863,14.25220812,13.46279245,14.28772457,14.42856924,
Barbados,BRB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98154114,14.18302474,19.71434612,19.63566979,16.51021194,13.79957789,14.95976216,13.63470222,16.99136691,12.53499681,13.33845826,12.65230897,15.06894654,13.84665792,13.24843825,11.27973946,12.0676426,14.21573049,11.50515876,8.762200843,11.60666726,12.43503716,6.484076708,10.32877495,5.800378514,-1.326892828,4.539237861,-0.457030447,,,,,,
Brunei Darussalam,BRN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.50732308,45.70216336,47.13399119,46.89047172,55.18984482,58.59415931,54.21166375,62.62901074,48.69263453,60.15035,63.78319692,62.90278691,60.27899601,59.7135945,57.11805327,56.4091193,55.33632375,54.14414708,
Bhutan,BTN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.82630371,26.88754209,34.62443211,30.80511895,34.60595316,40.59769136,48.74153374,24.90236447,27.71248948,19.08903585,28.91056048,27.86090409,21.60060871,
Botswana,BWA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,20.25510739,21.66939694,22.2357154,22.78366543,29.80392056,27.43297879,28.84790729,27.3958799,28.90686904,25.35307691,32.42891746,36.24700407,38.70262634,49.81910105,47.47934798,41.64785275,44.99647218,41.39848739,43.73922933,29.32229365,29.00825105,36.91323183,37.49155754,40.5270421,39.69103597,39.4414355,43.39316497,31.4345708,35.67832079,34.27037447,40.42887949,44.41545125,46.18323926,39.61423177,34.2262318,36.15259604,44.58115703,43.31836132,38.51258535,41.52050103,37.44955778,38.19911251,38.59278618,37.03867071,
Central African Republic,CAF,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,7.829276044,6.922912678,7.518813675,1.605729325,8.137828548,0.970863123,7.38290662,7.063255034,11.4703308,8.630921557,8.334572231,10.56779222,11.956716,10.87964089,9.541179513,9.840439153,12.52460864,15.09212915,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,21.10273066,21.15135798,21.20652585,23.30275244,24.20514565,21.18136158,21.93687917,20.68740292,20.39247919,22.15099249,22.26766557,22.56787418,19.97246332,20.1300743,20.99126374,20.61466726,19.04586143,20.25177182,21.0446828,20.21532395,17.82406242,15.19677807,14.10436831,14.93238077,17.0360145,19.01012577,19.52540072,20.26365427,19.8426533,21.16853359,23.85399308,22.71547206,21.80208732,22.02143843,23.74128734,24.53018112,24.68932047,24.46834179,24.30780328,18.56691125,19.35801902,20.90590777,20.96840977,21.65098628,22.20098887,19.61484167,19.0989301,20.06199034,19.72326867,
Central Europe and the Baltics,CEB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22055381,20.93215592,21.23150519,21.47519028,20.0249141,20.12937341,20.05438542,19.29081664,18.50605575,18.04623566,19.15587337,19.78211803,20.33693864,20.5296312,19.35145016,19.22124101,19.98184632,19.99019208,21.26876673,21.761584,22.6914146,22.25514853,22.51618597,22.49307224,
Switzerland,CHE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,32.59570701,33.01197278,32.61481425,32.82236313,33.85019198,32.58480397,31.93719688,34.07398216,34.41900178,33.6124069,33.07827761,34.83667996,34.78676428,34.3951552,32.52449778,30.41377131,31.05604127,30.98304609,31.34247427,30.64508146,32.2842069,33.05434834,33.2168461,36.45342856,33.11491019,31.27971093,35.27700033,35.66925247,37.60778684,39.65773027,34.89166972,27.70860941,34.13292708,38.97321381,35.09282385,35.70495307,34.88402811,32.69318628,35.21427651,33.69162205,33.38319673,34.67892716,
Channel Islands,CHI,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,7.559587755,14.42208922,10.69583148,12.01688515,12.34322465,14.04729538,7.887229121,1.895282404,5.888740183,7.034224021,9.242903515,12.13463238,17.86205853,22.8252268,23.87340025,23.66556171,22.66724943,21.81696142,21.24679243,21.51965573,24.23507466,23.81240407,23.31163177,21.98162096,21.05367208,21.06662334,21.31400634,21.50541752,20.75969614,22.53114376,23.33883075,25.37713882,25.22465667,22.72512416,22.88643139,24.52747491,23.04765884,22.47476523,21.51048444,21.52744967,21.34174184,20.62864474,19.40240932,19.50714542,
China,CHN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,33.8263741,33.17694247,34.92670861,35.31009742,35.28727671,37.27365476,38.02083621,35.93690323,36.75235398,38.55328253,40.65784637,41.75843268,41.74718698,39.58031837,38.80856875,39.79254426,38.39572462,36.60832608,35.82047901,37.37256109,39.01411998,42.57499881,45.86294109,46.1815373,48.55020696,50.83340291,52.23643298,50.89249378,51.95354721,49.99679699,49.46951338,48.44521279,48.94484989,46.6967295,45.47347048,46.56042121,46.25249164,
Cote d'Ivoire,CIV,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.01508297,10.6158717,9.583601793,13.9478588,15.36975656,15.31130012,13.47160667,15.11027111,17.72773013,21.23925943,19.49626018,16.51521792,14.56801654,,
Cameroon,CMR,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,4.109815145,18.25329281,15.57104554,5.226645145,9.523615331,23.35743358,21.35333955,24.78445269,23.32225769,23.77523938,18.8952554,19.73654037,17.78961378,16.16496555,15.43740769,11.07766267,13.30481807,16.91325659,18.32691385,15.98443263,15.89529718,18.39845399,17.05427433,16.14355373,14.42915157,14.21620431,15.12023506,19.5406095,18.78096025,20.59266871,19.86815292,20.94643054,19.32988182,17.97468978,18.91634391,17.99543084,17.60713778,19.06655682,16.65843239,17.23579113,18.2328611,17.46716347,
"Congo, Dem. Rep.",COD,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.362421648,11.82503263,13.0705812,3.453186569,8.543635858,19.94035814,19.16813834,8.158000689,12.53924972,15.39313479,13.34757249,10.85437248,21.65137312,21.12045046,
"Congo, Rep.",COG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,8.129910086,17.91013447,26.12098435,25.04728798,39.25060045,36.13413773,40.48752461,24.87331121,18.34994921,24.995918,5.351777056,14.59950074,31.77735958,17.57838975,32.33210208,21.08028559,28.80795333,-2.301749771,-0.20924836,9.274813016,6.024347441,17.68209575,36.17262976,22.02523533,23.54827371,30.74157346,17.04504336,24.72249939,25.34882669,15.60115151,20.42913239,15.79913805,27.09486282,29.65591808,26.99437799,20.11997744,27.15862304,11.15313066,-4.410426886,,,
Colombia,COL,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,16.89458099,15.95031317,17.04502207,13.55889371,16.70522468,18.81620747,19.27650708,16.70735599,18.7228326,21.02405782,19.96043295,19.24506304,19.44924875,16.39144254,14.15859889,14.39888438,15.05013963,16.84428836,22.08904671,21.31223286,22.42755668,20.61599795,20.88099902,22.96913897,19.08409142,17.90335645,19.10144714,18.50698196,15.1092759,13.49824714,12.87381147,13.54144932,13.57477576,12.83436426,13.92498479,15.39662792,16.82866036,17.2428823,18.30442408,17.84484371,18.39428002,18.07174394,17.48956452,18.53697722,18.49932004,18.44087077,18.02673715,17.14903118,17.40165768,16.82083477,15.06132281,
Comoros,COM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,5.612754415,12.45054146,9.432134154,9.062354254,15.02727058,15.29314241,10.02558516,11.42106447,11.64934756,13.13023617,10.20689139,9.489898492,10.65865057,12.35203379,13.80934398,9.637520533,,,,,,,,4.435894307,6.853484437,8.563157261,10.46790051,12.80705852,11.85776925,13.9349078,13.85876377,10.82056416,12.02991962,,9.577931662,13.36338621,8.20323104,11.49642793,12.80503675,
Cabo Verde,CPV,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.417891,37.31334808,33.42820085,34.59533037,34.02042653,28.3106355,28.62868743,25.92430204,28.15598422,32.80449476,30.44263267,34.69744769,
Costa Rica,CRI,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,16.72411513,12.86644178,11.63624504,12.06093104,14.32390142,13.48722285,15.02751334,18.71158728,22.51601649,23.29469234,21.41881378,20.91545387,18.69660588,19.35723104,13.41626598,14.82342646,13.29700249,15.44084166,16.07271679,14.28140371,15.91800037,17.55797798,15.73301571,15.7992266,16.58591241,14.37359807,13.43575568,14.92408993,14.24567104,16.55712625,17.2629016,15.43727857,15.74293746,15.64045859,13.56630885,14.36683945,13.08250063,12.91633952,13.98996786,15.19199382,14.66295237,14.74229206,
Caribbean small states,CSS,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.39911096,14.47263011,16.09789655,22.32221373,,,,,
Cayman Islands,CYM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,16.62787496,19.35907796,18.30397106,23.41421541,22.47480219,22.52037804,21.99851845,19.98391697,23.41769902,23.21727387,26.90602092,25.76364696,24.59943735,26.33699096,23.09605607,17.15716658,18.55622738,24.77692755,25.95735121,21.18505397,19.38127558,17.59907492,25.02442158,17.82769907,16.19967719,15.84576568,17.49526125,18.11422145,17.29051255,17.21594017,17.15452439,13.16197067,14.19256218,16.18284778,13.26787657,16.61652451,12.33316472,11.45863289,9.18571163,12.62149028,12.83334102,14.82734891,21.79290067,
Czech Republic,CZE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.03712492,29.51947855,30.86152706,29.98258977,27.47329862,29.4993806,27.90972632,28.334971,28.2692799,26.49574632,25.07899453,25.56400764,26.48018659,26.20810591,27.57811182,26.44359319,22.83028231,22.55554404,22.76999076,24.1173204,24.21439584,25.33953509,27.22018755,26.64149119,26.31127168,26.20954293,
Germany,DEU,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,26.14331574,24.97912059,24.70176701,23.54198484,20.02019589,20.53816912,20.24688175,21.14466942,20.59694134,19.37505987,18.00557295,18.31691173,18.88364114,19.50102593,20.29797375,21.80801893,20.97377995,22.14742117,23.15342738,24.40255624,23.71694176,23.50981694,22.51315683,22.7480572,23.03807291,22.52154103,22.78568067,23.22600137,22.5629766,22.66537153,22.53948381,22.63326809,21.79330683,24.3185149,24.13044535,26.33729946,28.26574014,27.14330647,24.39118781,25.77484873,27.82090766,26.80034456,26.58194611,27.59364582,28.56221882,28.74053802,28.88017652,29.33518199,
Djibouti,DJI,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.98834956,29.29350178,40.70315183,22.84550565,25.30997706,,
Dominica,DMA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,21.21543652,21.06017235,21.76286006,22.173163,20.5936856,18.10845593,15.24984554,15.25958743,16.92584704,18.60610346,18.78998477,20.04042668,21.06518647,21.20708965,21.46257165,22.6514649,21.64724808,22.14732558,22.01487836,21.67027052,22.83970402,22.93432666,23.84100323,23.47005794,24.297128,24.94950649,25.92982126,25.25839456,25.20028693,25.80866871,26.40806444,27.64618503,26.74065401,26.88832744,22.56653567,24.62749403,25.71520566,25.74171823,27.45201913,29.00361173,28.87396004,29.27147941,29.83473353,28.72260869,
Dominican Republic,DOM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,4.540821055,7.265339293,10.64107062,9.074028983,19.87361155,19.24884069,15.00874695,22.19011577,18.459699,15.8939978,16.99796109,20.30961955,8.89055124,10.09960903,6.779342472,4.995260682,-2.097173601,13.43824162,16.69944081,16.37985649,21.42931441,18.70175519,16.16219704,33.01120743,11.93515995,16.03990214,18.31549791,17.94970619,19.61315075,21.09366782,25.83672779,24.7154192,23.13061268,23.69737039,23.76530068,23.61914456,24.71352573,21.97723667,22.99914156,22.69856094,20.11057187,18.16865588,18.52283537,17.13138479,17.56133309,18.25124303,19.58661034,21.34689758,21.58884763,22.0071481,23.47957223,
Algeria,DZA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,31.52026942,33.98083715,36.6621081,39.37477867,36.886626,35.53709138,36.52502863,30.61771452,29.39890661,21.77989115,21.34696831,16.97597704,17.49190647,23.9777176,32.25932567,,,,,,,,,,,,,,51.86104543,54.47978222,56.83735227,57.47410983,47.27440404,49.86480248,48.49266627,47.1940071,45.37187442,43.10452134,36.43289781,37.37477683,37.78952564,,
East Asia & Pacific (excluding high income),EAP,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,,,,,,31.06482726,31.4061563,32.60179487,32.69877435,32.53904041,34.79151302,35.5752962,34.19336623,34.485253,35.91221744,37.73598404,39.27759071,39.43796632,37.46366594,36.61761692,37.47180334,36.19878504,34.20851294,34.94984039,36.08253905,37.09724929,39.76564554,42.43287422,43.00036087,45.12538087,46.89798732,47.89370631,46.64826682,48.13287393,46.66038692,45.86622068,44.91418954,45.27485223,43.34771347,42.42650863,43.4036124,43.23604321,
