quality_of_some_random_wine,ph_of_some_random_wine,density_of_some_random_wine,random_year,random_day,volume_disney_stock_traded_on_day_of_year,name_of_random_vegan_restaurant,city_of_random_vegan_restaurant,pricerange_of_random_vegan_restaurant,random_basketball_team,region_of_random_team,seed_of_random_team_in_year,text_of_random_book_review
5,3.22,0.9974,2005,08-16,8496800,Ichiban Japanese,Davie,USD 15.00 - USD 25.00,Louisville,Final Four,4,I had heard of this book for some time and had always wanted to read it - when I saw it available for Prime members I had to download it! What a great story and very well written. I would recommend it to anyone.
7,3.32,0.9965,1998,04-23,27489900,Greenery International Headquarters,Palisades,,Illinois,West,5,"not quite as good as the first three in this series, in my opinion. The quality of O'Brian's writing is as good as ever, with wonderful dialogue and descriptions. O'Brian does move the development of his main characters Aubrey and Maturin forward; Aubrey has mellowed and aged a little and now has the joys and burdens of having a wife and kids. It seems to me from this book that O'Brian did not intend for this series to continue on for nearly as many volumes as it did. For example, the Mauritius Campaign took place in 1810, only a few years before the end of the Napoleonic Wars. The previous book, HMS Suprise, seems to have taken place approximately five years before; a lot of prime war years were wasted. This book develops some interesting characters, particularly Captain Clonfert. The problem with this book is that a lot of time is taken up with our heros sailing here and there without much exciting happening. The ending is somewhat suspenseful, but not as much so as the previous three books. All in all, it is still a very good book but the series loses just a little of its freshness and originality."
6,3.29,1,1994,09-28,5305500,Buca Di Beppo,Roseville,$$,Michigan St,Southeast,7,"What can I say that hasn't been said? This is a great book, and at this writing is $4.17 for Kindle, which cannot be beat. If you're even thinking about buying it, go ahead and get it. You won't be disappointed."
8,3.63,0.9944,1986,02-21,5178700,Cai's Dim Sum Teahouse,Brattleboro,USD 0.00 - USD 10.00,Richmond,East,11,"Wow! Sara Gruen is a master storyteller. Her words make the often seedy yet oh-so-fascinating world behind the scenes of a legendary circus train seem so real, so here and now. The central figure of Jacob Jankowski is so well written. I am especially taken with the depiction of life in a nursing home with the body of a 93-year-old and the wit and mind of a much much younger man. It gave me a whole new perspective on how sad and depressing life must be like in an institution like that and will make me spend more time getting to know those who find their homes in such a place. But what struck me most was when I read the Afterward in which Ms. Gruen explained the motivation for writing this novel and the incredibly detailed research that she found herself doing just to put pen to paper. Not only is she so very gifted with the ease of writing, but she is very committed to the realism of details. Incredible! She took some really fascinating true stories from some of this country's most storied circuses and rolled them all into one incredible journey. I highly recommed this book to everyone I meet and I will be looking for more of her works to inspire and inform. Do yourself a favor and pick up this book today."
6,3.37,0.9918,2006,03-10,8196800,Eddie's Cafe,College Park,,Utah St,East,12,"Highly recommended. Good authors are hard to find -- Sara Gruen is one of those. The plot, the grammar, the characters, the research, -- all excellent. I have given this book to friends as a gift -- my highest recommendation."
5,3.23,0.9937,1988,12-14,4173600,Pizza Factory,Willow Creek,,Oklahoma,Championship,1,"Ms. Gruen has crafted an intriguing plot with complex, well-rounded characters. She's done her research on life in the circus in the early 20th century, and it shows in her beautifully textured scenes. The love triangle was a nice bonus. Water For Elephants captivated me from beginning to end."
7,3.08,0.99058,1995,04-19,2632200,The Orchard,Frederick,USD 25.00-40.00,Colgate,Midwest,16,"Liked this book so much more than the 4th in the series, which mostly seemed like people wandering around the countryside. Perhaps because my favorite characters were featured more? One could almost skip the 4th and move right on to this, without missing much. Great story and can't wait for the next book to come out."
6,3.2,0.99675,1994,03-29,3880300,Make Your Mark Artspace & Coffeehouse,Pittsburgh,USD 0.00 - USD 10.00,Wisconsin Green Bay,West,12,"Another great book in this series. Setting, pace, character development all wonderfully done. I hope we aren't kept waiting long for the next one"
7,3.32,0.99034,2016,10-27,6647000,Locali,Los Angeles,USD 25.00-40.00,Maryland,South,5,"I picked this novel up in the airport as I was waiting to get on my flight to Orlando, mostly because it is coming out as a movie and I wanted to read it before seeing the movie. That's my general rule after all. And I was sorely disappointed.In this historical novel, Jacob Jankowski, the protagonist, has left Vetrinary school at Cornell after suffering the loss of his parents, who have died in a tragic car accident. He learns fairly quickly that his father, also a vet, was heavily in debt and actually died owing money. So Jacob leaves school and his home and literally joins the circus. He travels cross country with the circus, acting as the show's vetrinarian and working under August, the head trainer and Uncle Al, the show's ringleader. August is an interesting man, alternately charming and brutal. He's also married to the beautiful Marlena, a performer, that Jacob forms a special bond with. This novel is about Jacob's relationship with Marlena, with the new elephant, Rosie and with Uncle Al.There are definitely several themes that are prevalent in this novel, which are super easy to pick out. Water is for cleansing, for instance and the train tracks are for choosing a life path.I was not impressed by this book at all. The themes were easy to spot and the ending was just as easy to spot. The characters were shallow and one dimensional and I found myself annoyed with them more often than I was intrigued by them. I just didn't really like it - I kept expecting it to get better and it didn't. It was a complete and utter failure."
7,3.44,0.9922,1997,11-12,4388900,Oxheart Restaurant,,USD 50.00-55.00,Providence,Southeast,10,"If you were one of those students that was doodling during American History or, more likely, by spring when WWII was covered, was thinking of other things as the teacher sped through the entire event in two periods, this is an wonderfully enjoyable way to get the history you missed. Following two families, this historic fiction offers insights into WWII that no textbook could. It opens in early 1939 and closes with Pearl Harbor, describing events in London, Europe, Washington and the Pacific. The book includes an enormous amount of factual data on actual events and individuals who played a significant role during the period. Additionally, it very effectively employs the device of reports written by a fictitious German general, to provide the German perspective on the war effort there. All in all an excellent book that should be required reading for anyone that feels they know too little about the period. And the sequel, War and Remembrance (which I am now reading) is an excellent follow up, continuing to track the characters throughout the remainder of the war."
7,3.72,0.99682,1997,07-31,3814000,Pa Italian Restaurant,Jonestown,,Rhode Island,Southeast,9,This is a definite must read. i loved the way the author protrayed the real lives of circus socity. recomended for young adult to adult
7,3.12,0.9932,1994,04-20,3468100,The Cheesecake Factory,Brea,,Wisconsin Green Bay,West,12,"..so says one of the protagonists near the end of the book. I know exactly how he feels.'Circus' is a good example of Maclean's late-career decline. His early tales were tightly-plotted and exciting, with plenty of action, and interesting (if not exactly original) characters. In contrast, apart from a mildly interesting plot, this book is loose and lazily written, almost as if Maclean couldn't really be bothered.The characters are little more than two-dimensional cut-outs: Bruno is the typical introverted loner hero with a tragic past, who nevertheless seems an expert at nearly everything. Maria Hopkins is an utterly clueless 'heroine' whom we cannot for a second believe is a CIA operative. And these are two of the most well-drawn characters! What about Manuelo, Roebuck and Kan Dahn? We know what motivates Bruno to act as he does, but what's their motivation? Or Harper's? Or, for that matter, Van Diemen's? We're never given any insight into what drives these characters; there's lots of shrugging of shoulders and ""we may never know why he did what he did..."". It reads like a cop-out.The writing, dialogue and descriptive passages are leaden and often lazy. For example, there is the thriller cliche of the bad guys allowing the heroes to progress so far because they plan to trap them at the very end. This does nothing except rob the book of any action or suspense, and of course our heroes easily predict the trap and dispose of the villians without breaking a sweat. The romance between Bruno and Maria is corny even by thriller standards. And while a couple of characters are unexpectedly dispatched, we never feel any real threat directed at Bruno. He's portrayed as so skilled at everything that we never believe there's a situation he can't get out of.The book's only real good point is that the anti-matter plot is interesting, and the way in which the CIA plan to use Bruno is quite novel. It's clear Maclean had a few good ideas here. What a shame he couldn't make something better out of them."
7,3.04,0.9939,1999,08-06,4980500,Neeranand Dalhousie- A Pure Vegetarian Hotel,Kolkata,,New Mexico St,Midwest,14,"Herman Wouk's book The Winds Of War is near perfect. The twelve years of research Mr. Wouk put into this book is a historical fiction lover's dream. He somehow manages to take a lot of dry information and turn it into fascinating, can't put down, reading. I came away from this book with a better and clearer understanding of WW2 than I have ever had before.The Henry family are the main characters of the story, with Captain Victor ""Pug"" Henry, a Naval Officer, as the head of it. None of the characters are really all that well fleshed out, there is just way to much going on in this story for there to be time to go too deep, but it all seems to work to make a very enjoyable and fascinating story that is hard to put down.This is definitely a ""can't put down"" book but I actually found myself taking my time to read it and savor it because I didn't want it to come to an end. This is a huge book (1056 pages) but I didn't find any part of it that dragged at all. I am so happy there is a sequel. Even after reading this 1000 plus page book I am ready to dive right into the second equally large book about the Henry family and the continuation of WW2.This is one of those special rare books that only comes along once in a long while...books you wish you could read again for the first time."
5,3.33,0.99178,1994,04-19,5561300,The Veggie Grill,San Jose,,Virginia,West,7,The story line kept my interest but at times I considered not finishing it because it disturbed me. As it progressed I begun to dislike the main character. Then I read the interview with the author at the end of the book and found that it was her intention to portray our &#34;hero&#34; with all the flaws. I guess my ideal is a comic book hero.
5,3.06,0.99394,2006,08-02,8594800,Portia's Café,Columbus,,Monmouth,Midwest,16,"The story does jump around quite alot in this book, more so than I am used to in a Clancy novel. It is nice how it all comes together in the end but I think it could have done so with less pages. If you are used to mainly/strictly military style writing then you might not want to consider this book as it has more of a romantic tone to it than other Clancy novels I've read, such as The Bear And The Dragon or Red Rabbit."
6,3.12,0.99074,2001,01-03,10282100,Fazoli's,Anderson,,Gonzaga,South,12,I purchased it on the kindle because the softcover was not yet out. To be honest though I plan on buying the entire game of thrones collection on the kindle. While I normally perfer to hold a book the Ice and Fire series is extremely heavy and causes tears in my purse. On the kindle I recieved it for a much cheaper price then the hardcover and it didn't cause my bag to rip at all.
8,3.38,0.989,1995,07-18,3733400,Pizza Pro,Manila,,Stanford,East,10,"This is not a great book. It suffers from a predictable plot, cardboard characters and formaldehyde dialogue, and its success is obviously due to the imprimatur of the Oracle Oprah (and you will notice that nearly all the positive reviews here are from the distaff side), but it does have one salient virtue. It gets all the facts right.I become enraged, when reading a novel, if I notice that the author was too lazy to research (look up) what he's writing about. In detective stories such errors are usually about guns; in other novels inaccuracies are often about cars or planes. But Ms. Gruen, to her everlasting credit, has all the arcane details of the bygone circus life perfectly accurate. Because of this, I'm eager to forgive the book's other shortcomings.Now, obviously Sara Gruen did not work in a circus in the 1930s. She has never worked in a circus. She obviously learned all the arcane details of circus lore from reading other, better books. One such book isCircus Paradeby the hobo writer Jim Tully.Circus Paradeis ten times the book that this one is, and the original story of the elephant who got revenge on his mean trainer can be found in it."
5,3.63,0.99484,1988,05-11,4786800,Maoz Vegetarian,,USD 0.00-25.00,Louisville,Southeast,5,if you are interested in history of the Klondike this book gives the best details on the life in such a rugged part of history. great book.
7,3.29,0.9948,2014,07-14,4012300,Green Bar & Kitchen,Fort Lauderdale,USD 25.00-40.00,Delaware,East,13,I began reading this book and couldn't put it down. The characters lept from the page as I imagined every scene in technicolor. I will look for other books by this author because she knows how to put pen to paper!
6,3.46,0.9927,2010,03-05,19204800,Le Petit Paris,Key W,$$,Wofford,East,13,"In this day and age, there are few books that I love - but Water for Elephants is one of the best books I have read this year. The story is told from an old man in a retirement home reflecting on his life as a circus veterinarian. Not only is the fictional story intriguing, the history of circus life in the 1930s is riveting in this book."
4,3.25,0.995,1986,05-20,8347200,P.s. & Co.,Philadelphia,USD 0.00 - USD 30.00,Kansas,Final Four,1,Not as good as SOS but much better than Clash of Kings. If I could I would rate this at 3.5 but only 4 is available. After the big letdown of a COK this is a bit of a return to old form. There is way too much time with Dany - who is sadly becoming a shadow of her former self - gone is the ascertive leader; she as been replaced by a moppy mothering indecisive lovestruck bore. But I was happy to see some movement in the Wall storyline and Arya storyline.
5,3.54,0.99524,2001,10-15,5497100,Panchavati Indian Vegetarian Foods,Sunnyvale,,George Mason,West,14,This was a wonderful story of how life is on the traveling circus and how lives were intertwined. The characters were great and easy to get into. I could not put it down.
6,3.11,0.99185,2010,01-21,15403600,Taco John's,Helena,,Texas A&M,South,5,The story held my interest since I had an uncle who was the front man for the circus. The story line took the reader through this man's early life and into old age with ease. The characters come to life and before the book is finished one can smell the popcorn and the big top.
5,3.2,0.9924,2014,04-04,8894400,Crane Creek Hideaway,Melbourne,,San Diego St,West,4,"Long, but worth the time. The author provides an historial account of WWII that headlines or history books of that period could not provide. He personalizes that period by following a family as they deal with the everchanging landscape of war."
5,2.96,0.98974,1987,08-24,4853800,Vietopia Vietnamese Cuisine,Houston,USD 25.00-40.00,Fairfield,Midwest,16,"I had only read The Old Man and The Sea before this novel. This book just grabbed me and I had to read it until I finished it. The trademark Hemingway style of silence is present here. The landscape and environment are as much a part of the story as the characters. It took getting used to pages of describing the landscape so deeply, but once I went along for the ride I enjoyed the novel immensely. The plot seems conventional, that's fine for me."
5,3.37,0.9938,1988,01-11,7850700,La Feria,Pittsburgh,,Oklahoma,Final Four,1,"I never found a book that so accurately portrayed growing old and how you are treated. The story begins with life in the circus,"
6,3.41,0.9947,2004,03-19,8138300,Boston's Gourmet Pizza,Spokane,,Valparaiso,Midwest,15,"This just popped into my review folder. I read this book many years ago but, Without Remorse is perhaps my favorite book of all time. This was written back when Clancy did all his own writing and research and it shows. While in the beginning you may ask yourself, why do I need to understand how to tie a bowline or a clove hitch for example, you will find out as you read that you are being lead down a path of understanding that makes the story rich and visual. For anyone who wants to know how John Clark began and how he became such a bad*ss this explains it all in the most brilliant work Tom Clancy has ever produced."
6,3.33,0.9968,2015,05-07,8291200,Panchero's Mexican Grill,Voorhees,USD 0.00 - USD 10.00,Louisville,East,4,"This is the story of how John Kelly became Mr. Clark, the CIA operative that plays such a big part of early Clancy books. It begins with Vietnam veteran Kelly in the midst of getting over his wife's death. He has a chance meeting with a pretty young woman and a night of passion quickly turns to love. The girl's past soon comes back to haunt her however as the pimps she escaped from find her. Kelly is sent reeling with another death of someone close to him. He vows revenge on the entire gang of drug dealers and discovers there are many more girls like the one he loved that need help.While Kelly is carrying out his plans, he is also recruited by the military to run an operation that sends him back to Vietnam. American POWs have been found there. Kelly is put in charge of designing a mission, training the men and leading them to rescue the prisoners.Without Remorse wasn't one of my favorite Clancy books. The Vietnam POW story line isn't heavy enough and the final raid is anticlimactic. The story line with the girl and the drug gang takes up the bulk of the book and while it's interesting to a point, it also goes on too long. I got bored during much of that plot. The book as a whole was trying to show why Mr. Clark can do the things he does but for me it didn't achieve that goal."
7,3.52,0.99044,2007,04-30,10172700,Mrs. Winston's Green Grocery,Santa Monica,USD 0.00-25.00,Indiana,West,7,"I loved how this story switched between the past and the present. I haven't read a book like that in awhile, so I was really happy for something different...a little break from the norm. I couldn't put this book down, and now heard it is being made into a movie. Woo hoo!"
5,3.19,0.9995,1986,04-11,23362500,Toros Grill,Long Branch,,Akron,Midwest,15,"This book never ages, it is sincerely ageless..."
5,3.24,0.9972,2008,07-01,17144900,Bikeway,Wappingersfalls,,Xavier,West,3,"...so I started reading this book. About a third of the way through my doctor prescribed clonazepam and I no longer needed the book. Honestly, I can't see how anyone could get through this book without already suffering from insomnia as badly as I was. It is the most boring book I have ever read and I could only force myself because it was the middle of the night, there was nothing to do, and I had mistakenly bought it.I am a fan of hard science fiction, and that is what this book purports to be. But hard-SF needs to be speculative and push boundaries. This doesn't. An analogy might explain - in the 19th century cantilever bridge building might have been seen as cutting edge technology. Imagine someone writing cantilever bridge fiction. The science aspect of it would be completely uninteresting. It would be a story about the politics and economics of getting the bridge built. Well this book is about that interesting. It's a collection of uninteresting unealistic characters involved in endless contrived office politics trying to get some uninteresting science and engineering done. It just so happens that it's on Mars but most of it is far less interesting than bridge building. I'm not exaggerating. We have to read about how concrete foundations were laid, how bricks were manufactured and have to suffer detailed geological surveys of the areas the characters visit.If your preferred genre is boring books try ""Report on Probability A"" by Aldiss. I used to think it was the most boring book on earth but at least it was short and turned boredom into an art form worth rereading. Read Mars is boredom without purpose. Your time would be better spent actualy reading some real science about Mars.Addendum, Jan 1994Well I did eventually finish this book even tyhough I thought I'd given up. Some things do happen later in the book. The characters remain supremely uninteresting and there are still no original ideas. But there is some entertaining large scale destruction if you like that sort of thing. So I bumped the rating up to 2 stars."
6,3.07,0.98935,2010,01-04,13700400,Pizza Bellagio,Pittsburgh,$$,Lehigh,Midwest,16,"I had only read The Old Man and The Sea before this novel. This book just grabbed me and I had to read it until I finished it. The trademark Hemingway style of silence is present here. The landscape and environment are as much a part of the story as the characters. It took getting used to pages of describing the landscape so deeply, but once I went along for the ride I enjoyed the novel immensely. The plot seems conventional, that's fine for me."
6,2.99,0.991,2018,06-01,6847700,Wild Bean Cafe,Orlando,,Providence,West,10,"I read Winds of War as well as War and Remembrance 30-something years ago, and ever since have felt that they were the best, most compelling books I had read in my life. That's never changed, despite having read hundreds of books since then. So I put Winds of War on my Kindle and am rereading slowly, savoring each chapter this time through.If you haven't read them, do so. You won't regret it."
6,3.05,0.9986,1990,01-22,7428500,Cooking With Nrg,Norwalk,$,Duke,Championship,3,"Robert Jordan, an American in at least the third generation, and a teacher of Spanish from Montana, goes to fight in the Spanish Civil War. His motives are never discussed, as are not the theater of or the reasons for the war. The novel is rather about several people who, in the course of a few days, are helping Robert Jordan complete his mission: to blow up a bridge.The novel's tall order - being ""involved in Mankinde"" to the extent of fighting thy neighbor's civil wars - is echoed in the story's close engagement with each character. Here is the natural-born killer Pablo, his no-nonsense and wise Gypsy wife Pilar, the beautiful young girl Maria who is carrying much pain, the good old rock of a man Anselmo, who fights to win this war, but who in his bones knows that thou shalt not kill.Robert Jordan is singled out to have both the first and last name. All the other foreigners go by their last names and the Spaniards - by their first ones. Besides embodying the foreign engagement in the Spanish affair, Robert Jordan also brings a distinctly human element into the war zone: the lonely human name among the nomes de guerre of general Golzs and partisan Anselmos.The book is written as if translated from Spanish. The language is a bit choppy, many expressions read like Spanish idioms translated verbatim, some phrases are left in Spanish. This adds to the feeling that one is in a foreign setting. As it often happens in Hemingway's novels, much working of the human spirit is revealed through this simple language."
7,3.24,0.993,1995,05-24,2621200,Casa Tina,Dunedin,$$,Long Beach St,West,13,"So of the 5 books currently in the Song of Ice and Fire series, this one was my least favorite. This book takes place at the same time as book 4 (A Feast For Crows). While Feast for Crows focused mainly on events in Westeros, this book was supposed to focus on Daenerys in Essos and those north of the wall. Yet Bran only gets 3 chapters? Bran hasn't had a very interesting storyline (at least compared to some of the other POVs) but the 3rd Bran chapter here gets interesting and leaves you with many questions that won't get answered until Winds of Winter (which George RR Martin prob won't release until 2015).The Daenerys chapters seemed stagnant to me once she stopped traveling around and it drove me nuts trying to keep track of characters with crazy names like Hizdahr zo Loraq, Reznak mo Reznak, and Skahaz mo Kandaq. The most interesting chapters taking place in Essos weren't even Daenerys chapters, but chapters of those converging on Mereen.I don't want to sound too critical because this is still a very good book. And the worst of ASOIAF is still better than most fantasy books out there. I'm just a harsh judge and I have to rate this book in relation to the other 4 books of the series. That being said I loved the events that went down in Winterfell and the Erie. I liked finally seeing dragons in action. You can see the growth in characters like Sansa and Arya, and the decline of characters like Cersei. And with all the major gut wrenching or crazy events of the previous books (Beheading of Ned, Red Wedding, Joffreys Wedding, etc) I was floored with the &#34;gut wrenching event&#34; in this book. This one hit me harder than all the others. No spoilers though, gotta read it to find out!"
6,3.24,0.99232,1989,10-19,6911400,Anchalee Thai Restaurant,Greenville,,LSU,West,10,"This was a delightful book. I would have never thought a story set in the 30's about a 20year old man who runs away and joins the circus would have kept me interested. This book did. It was nice to get an understanding about how life would have been back then for Circus-folk. I took for granted for many years how a show is produced. It was so descriptive that I could hear the circus music playing.There was a few boring spots, but when the book picks up the tempo, it makes up for the few boring parts. Also I didn't like how the prolog made it seem like Marlena murdered August, when it turns out to be Rosie the Elephant. That was the books Far-fetched moment. The Kindle Version was for some reason, hard to read. They would have 1 word a page. Not sure why. The upcoming movie looks like good. I don't see Reese Whiterspoon as Marlena since of the age difference, but I'm sure it will be a great movie."
6,3.28,0.9968,1998,12-24,1827300,Maruthi - Gwinnett Place/duluth - Duluth,Duluth,,Nebraska,West,11,"I'd heard some raves about this book and decided to treat myself. What I found was a reasonably interesting story that was not terribly well told: for such a graphic topic, the prose was not very visual and often skimmed surfaces of moments that could have been captured with much more attention to detail.I would not recommend this book. If someone is looking for a phenomenal story involving wild animals, I would suggest ""Life of Pi."""
7,3.51,0.99461,1998,06-11,4684300,Cinnamon Bistro,Lake Zurich,,UCLA,South,6,"I loved this book from beginning to end. Along with some entertaining history, this is a beautifully woven tale. To my mind, a good novel has unexpected twists and surprises .. and this book carried one beautiful surprise all the way through.This book stirred in me an affection for elephants that I hadn't felt since childhood. Along with The Magician's Elephant by Kate DiCamillo, Water for Elephants helped to inspire the painting ""The Gentle Somnambulist"" which is included in my bookTREASURE Twenty One Paintings and a Key."
5,3.14,0.9938,1996,07-09,6559400,Andy's Chinese Cuisine,Sanfrancisco,$,Utah,Midwest,4,"The first three books in this series were excellent. I could hardly put them down. The fourth book bored me almost to tears. This book wasn't quite so boring, but was still not up to the standards of the first three. I read it because I'm committed to the series. Lets hope the next book is better."
7,3.28,0.992,1986,08-14,2830200,Rubio's,Las Vegas,,Tulsa,East,10,Have any of the readers noticed the use of as well. Author uses as well a lot. There is a description of something with an additional item added with as well attached. It is like me saying I have a Toyota and a Chevrolet as well. Not a problem...just noticed. I am very pleased and engrossed with these books. My complaint would be along the line of purchasing the 1st 4 as a set at a price higher than the similar set with the first five a set (5 books at a lower price than the subsequent set of 5). Also book 6 is late.
7,2.96,0.99768,1995,05-17,2739600,Big Chow Grill,Atlanta,USD 25.00-40.00,Long Beach St,West,13,"This book was beautifully written. I felt so connected to the characters and the descriptions made the characters that much more vivid in my mind.The content regarding animal cruelty was hard to read for me. I cried a few times as I read them.With that said, I think it is beautiful and honorable for these elephants to be acknowledged and their names remembered as their stories are further shared with the world.The details in the book regarding the workers and the environment of the circus were accurate and well portrayed.I felt a connection with all of the characters not just their Marlena and Jacob."
